series,$pathname,Total Sum
$pageview,/products/page-ai,34
$pageview,/products/boltai,33
$pageview,/products/alter,24
$pageview,/products/typingmind,22
$pageview,/products/clobbr,21
$pageview,/products/anything,19
$pageview,/products/headshotpro,19
$pageview,/products/sip,19
$pageview,/products/aiscraper,17
$pageview,/products/luckynote,17
$pageview,/products/rewritebar,17
$pageview,/products/aikeedo,16
$pageview,/products/sentry,15
$pageview,/products/inbox-zero,14
$pageview,/products/capture-quick-notes,13
$pageview,/products/clipboardai,13
$pageview,/products/crontap,12
$pageview,/products/typeboost,12
$pageview,/products/genppt,10
$pageview,/products/postsyncer,10
$pageview,/products/almighty,9
$pageview,/products/textsniper,9
$pageview,/products/better-powerpoints,8
$pageview,/products/branding5,7
$pageview,/products/devutils,7
$pageview,/products/xnapper,7
$pageview,/products/calorific-nutrition-tracker,6
$pageview,/products/larafast,6
$pageview,/products/pdf-pals,6
$pageview,/products/unicorn-platform,6
$pageview,/products/bookmark-manager,5
$pageview,/products/screen-charm,5
$pageview,/products/seo-bot,5
